Original,Simplified,Grammar,Meaning
"Jeddah is the principal gateway to Mecca , Islam 's holiest city , which able-bodied Muslims are required to visit at least once in their lifetime .
","Muslims are required to visit at least once in their lifetime .
",9.2,5.0
"The tarantula , the trickster character , spun a black cord and , attaching it to the ball , crawled away fast to the east , pulling on the cord with all his strength .
","The Tarantula , the trickster character , spun a black cord and , attaching .
",6.8,4.8
"They are culturally akin to the coastal peoples of Papua New Guinea .
","They are culturally like the coastal peoples of Papua New Guinea .
",9.8,10.0
"Since 2000 , the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £ 5000 .
","Since 2000 , the winner of the Kate Greenaway Medal has also been presented with the Colin NASCAR Award to the value of £ 5000 .
",9.0,7.8
"Following the drummers are dancers , who often play the sogo ( a tiny drum that makes almost no sound ) and tend to have more elaborate — even acrobatic — choreography .
","Following the drummers are dancers , who often play the sogo ( a tiny drum that makes almost no sound ) and tend to have more elaborate .
",8.4,7.8
"The spacecraft consists of two main elements : the NASA Cassini orbiter , named after the Italian-French astronomer Giovanni Domenico Cassini , and the ESA Huygens probe , named after the Dutch astronomer , mathematician and physicist Christiaan Huygens .
","The spacecraft has two main elements :
",7.0,2.0
"Alessandro ( "" Sandro "" ) Mazzola ( born 8 November 1942 ) is an Italian former football player .
","Alessandro ( "" Sandro ( born 8 November 1942 ) is an Italian football player .
",7.8,6.0
"It was originally thought that the debris thrown up by the collision filled in the smaller craters .
","It was thought that the debris thrown up by the collision filled in the smaller craters .
",8.6,8.4
"Graham attended Wheaton College from 1939 to 1943 , when he graduated with a BA in anthropology .
","Graham went to Wheaton College from 1939 to 1943 .
",9.8,7.0
"However , the BZÖ differs a bit in comparison to the Freedom Party , as is in favor of a referendum about the Lisbon Treaty but against an EU-Withdrawal .
","However , the BZÖ differs a bit in comparison to the Freedom Party .
",9.6,7.0
"Many species had vanished by the end of the nineteenth century , with European settlement .
","Many species had gone by the end of the nineteenth century , with European settlement .
",9.4,9.8
"In 1987 Wexler was inducted into the Rock and Roll Hall of Fame .
","In 1987 , Wexler was inducted into the Rock and Roll Hall of Fame .
",9.8,10.0
"Admission to Tsinghua is extremely competitive .
","Admission to Tsinghua is very competitive .
",9.8,10.0
"Today NRC is organised as an independent , private foundation .
","It is organised as an independent , private foundation .
",9.8,7.8
"It is situated at the coast of the Baltic Sea , where it encloses the city of Stralsund .
","It is at the coast of the Baltic Sea .
",9.6,6.0
"He was also named 1982 "" Sportsman of the Year "" by Sports Illustrated .
","He was also named 1982 "" of the Year "" by Sports Illustrated .
",8.6,6.4
"Fives is a British sport believed to derive from the same origins as many racquet sports .
","Fives is a British sport believed to come from the same origins as many racquet sports .
",9.6,9.8
"For example , King Bhumibol was born on Monday , so on his birthday throughout Thailand will be decorated with yellow color .
","For example , King Bhumibol was born on Monday .
",9.4,6.8
"Both names became defunct in 2007 when they were merged into The National Museum of Scotland .
","Both names became defunct in 2007 when they were joined into The National Museum of Scotland .
",9.6,10.0
"Nevertheless , Tagore emulated numerous styles , including craftwork from northern New Ireland , Haida carvings from the west coast of Canada ( British Columbia ) , and woodcuts by Max Pechstein .
","However , Tagore emulated numerous styles , including craftwork from northern New Ireland , Haida carvings from the west coast of Canada ( British Columbia ) , and woodcuts by Max Pechstein .
",9.6,9.8
"On October 14 , 1960 , Presidential candidate John F. Kennedy proposed the concept of what became the Peace Corps on the steps of Michigan Union .
","On October 14 , 1960 , President John F. Kennedy suggested what became the Peace Corps on the steps of Michigan Union .
",9.2,9.0
"She performed for President Reagan in 1988 's Great Performances at the White House series , which aired on the Public Broadcasting Service .
","She performed for President Reagan in 1988 .
",9.6,6.8
"Perry Saturn ( with Terri ) defeated Eddie Guerrero ( with Chyna ) to win the WWF European Championship ( 8:10 ) Saturn pinned Guerrero after a Diving elbow drop .
","Perry Saturn defeated Eddie Guerrero ( with Chyna ) to win the WWF European Championship ( 8:10 ) Saturn Cena .
",8.4,7.2
"She remained in the United States until 1927 when she and her husband returned to France .
","She stayed in the United States until 1927 when she and her husband returned to France .
",9.8,10.0
"Despina was discovered in late July , 1989 from the images taken by the Voyager 2 probe .
","Despina was found in late July , 1989 from the images taken by the Voyager 2 probe .
",9.4,9.8
"He also completed two collections of short stories entitled The Ribbajack & Other Curious Yarns and Seven Strange and Ghostly Tales .
","He also completed two collections of short stories called The Ribbajack & Other Curious Yarns and Seven Strange and Ghostly Tales .
",9.8,10.0
"At the Voyager 2 images Ophelia appears as an elongated object , the major axis pointing towards Uranus .
","At the Voyager 2 images Ophelia appears as an stretched object , the major axis pointing towards Uranus .
",9.2,9.6
